Owner,Player Name,Points,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6,Match 7
Vaibhav,Shubman Gill (c),4,46,14,56,121,25,98,14
Vaibhav,Faf Du Plesis,2,55,7,14,36,60,87,103
Vaibhav,KL Rahul,2,96,22,38,52,72,64,141
Vaibhav,Glenn Maxewell (vc),3,10,57,39,56,13,-2,0
Vaibhav,Kane Williamson,2,0,0,0,42,5,0,0
Vaibhav,Moin Ali,2,0,0,0,70,0,0,46
Vaibhav,Rinku singh,2,50,25,37,11,4,25,34
Vaibhav,Axar Patel,2,35,49,46,2,87,6,43
Vaibhav,Jasprit Bumrah,2,98,4,15,66,157,6,95
Vaibhav,Umran Malik,2,0,4,0,0,0,0,0
Vaibhav,Andre Russell,2,143,62,90,16,29,25,116
Vaibhav,Rohit Sharma,1,70,43,2,83,59,150,54
Vaibhav,Rishabh Pant,1,46,44,85,95,5,79,65
Vaibhav,David Miller,1,25,38,64,0,0,0,6
Vaibhav,Tilak Verma,1,50,96,52,19,19,48,62
Vishnu,Virat Kohli (c),4,27,124,117,32,165,15,66
Vishnu,Ruturaj Gayakwad (vc),3,22,61,13,35,88,102,24
Vishnu,Jos Buttler,2,25,21,19,151,18,0,231
Vishnu,Yashawi Jaiswal,2,39,10,16,10,33,53,28
Vishnu,Ravindra Jadeja,2,37,12,50,53,113,4,84
Vishnu,Rachin Ravindra,2,76,100,0,26,30,39,2
Vishnu,Deepak Chahar,2,29,64,2,27,0,0,4
Vishnu,Arshdeep Singh,2,56,0,52,4,112,21,0
Vishnu,Trent Boult,2,62,4,103,2,10,33,37
Vishnu,Maheesh Teekshna,2,4,0,0,31,47,0,0
Vishnu,Sanju Samson,2,113,38,35,97,109,31,18
Vishnu,MS Dhoni,1,32,12,69,5,5,30,47
Vishnu,Prithvi Shaw,1,0,0,63,24,96,48,20
Vishnu,Daryl Mitchell,1,30,55,49,18,50,22,
Vishnu,Shardul Thakur,1,0,0,0,0,4,20,0
Vishal,David Warner,3,50,70,85,36,17,21,0
Vishal,Shikhar Dhawan,2,32,60,105,13,28,0,0
Vishal,Ishan Kishan,2,2,58,24,78,120,44,35
Vishal,Rajat Patidar,2,18,25,7,41,4,79,15
Vishal,Cameron Green,2,81,7,61,8,9,0,0
Vishal,Hardik Pandya,2,24,52,52,68,31,58,41
Vishal,Rashid Khan,4,20,49,53,35,31,63,70
Vishal,Mitchell Starc,2,5,8,71,4,93,4,31
Vishal,Ravi Bishnoi,2,29,4,2,51,5,6,27
Vishal,Mohit Sharma,2,62,29,85,37,0,23,8
Vishal,Yuzvendra Chahal,2,29,56,89,54,60,29,31
Vishal,Mayank Agrawal,1,50,24,18,0,0,0,0
Vishal,Mohammed Siraj,1,4,56,-2,41,29,0,0
Vishal,Varun Chakravarty,1,31,2,91,14,29,54,29
Vishal,Kagiso Rabada,1,29,58,37,52,45,76,37
